,Model, type, depth, Train_RF, Test_RF, Train_SVM, Test_SVM, Train_NB, Text_NB, Homo1, Homo2
6,dgi_2_graph,dense,1,0.5416141235813366,0.5339805825242718,0.7351828499369483,0.6213592233009708,0.993064312736444,0.6189320388349514,0.7372477650642395,0.5205391049385071
8,dgi_2_graph,dense,2,0.5296343001261034,0.5,0.8638083228247163,0.633495145631068,0.9987389659520808,0.5970873786407767,0.7433165311813354,0.5192307829856873
10,dgi_2_graph,dense,3,0.6261034047919294,0.5606796116504854,0.8720050441361917,0.7087378640776699,1.0,0.5849514563106796,0.7457282543182373,0.519561767578125
12,dgi_2_graph,dense,1,0.5460277427490542,0.529126213592233,0.6387137452711223,0.5970873786407767,0.9968474148802018,0.5655339805825242,0.7405580282211304,0.6788461804389954
14,dgi_2_graph,dense,2,0.5384615384615384,0.4951456310679611,0.8562421185372006,0.7257281553398058,0.9993694829760404,0.6140776699029126,0.7425441145896912,0.6778846383094788
16,dgi_2_graph,dense,3,0.5176544766708702,0.4951456310679611,0.8669609079445145,0.7597087378640777,1.0,0.5,0.7439312934875488,0.6698139905929565
18,dgi_2_graph,dense,1,0.5800756620428752,0.5388349514563107,0.6248423707440101,0.5364077669902912,0.9974779319041616,0.5509708737864077,0.753467857837677,0.732771098613739
20,dgi_2_graph,dense,2,0.5271122320302648,0.5072815533980582,0.8650693568726355,0.837378640776699,0.9993694829760404,0.7087378640776699,0.7398644685745239,0.7430958151817322
22,dgi_2_graph,dense,3,0.5554854981084489,0.5266990291262136,0.9016393442622952,0.7063106796116505,1.0,0.5558252427184466,0.735923707485199,0.7492906451225281
24,dgi_2_graph,dense,1,0.5706179066834804,0.5072815533980582,0.6406052963430012,0.5728155339805825,0.9306431273644388,0.587378640776699,0.7484552264213562,0.9703657031059264
26,dgi_2_graph,dense,2,0.5372005044136192,0.5,0.882093316519546,0.7427184466019418,1.0,0.7233009708737864,0.741519570350647,0.975078821182251
28,dgi_2_graph,dense,3,0.5498108448928121,0.5825242718446602,0.9640605296343,0.7912621359223301,1.0,0.558252427184466,0.7461380958557129,0.9738650918006896
36,dgi_2_graph,avg,1,0.8455233291298865,0.8276699029126213,1.0,0.4854368932038835,1.0,0.8737864077669902,0.7452553510665894,0.5229508280754089
38,dgi_2_graph,avg,2,0.7881462799495587,0.7378640776699029,0.9993694829760404,0.7354368932038835,1.0,0.7621359223300971,0.742150068283081,0.5163461565971375
40,dgi_2_graph,avg,3,0.5617906683480454,0.4320388349514563,0.9514501891551072,0.5266990291262136,1.0,0.7111650485436893,0.7449716329574585,0.5184426307678223
42,dgi_2_graph,avg,1,0.8675914249684742,0.8131067961165048,1.0,0.4854368932038835,1.0,0.8567961165048543,0.7375630736351013,0.6652427315711975
44,dgi_2_graph,avg,2,0.742749054224464,0.7524271844660194,0.9968474148802018,0.8422330097087378,1.0,0.8398058252427184,0.7380359172821045,0.6818253397941589
46,dgi_2_graph,avg,3,0.8921815889029003,0.8325242718446602,0.960907944514502,0.837378640776699,1.0,0.8009708737864077,0.7494325637817383,0.6718158721923828
48,dgi_2_graph,avg,1,0.9224464060529636,0.9199029126213591,1.0,0.4854368932038835,1.0,0.912621359223301,0.7349621653556824,0.7451607584953308
50,dgi_2_graph,avg,2,0.9306431273644388,0.924757281553398,0.9993694829760404,0.924757281553398,1.0,0.9053398058252428,0.7413619160652161,0.7457755208015442
52,dgi_2_graph,avg,3,0.542875157629256,0.5606796116504854,0.9798234552332912,0.8567961165048543,1.0,0.8422330097087378,0.7427332997322083,0.7409836053848267
54,dgi_2_graph,avg,1,0.9104665825977302,0.8883495145631068,1.0,0.4854368932038835,1.0,0.8859223300970874,0.7399590015411377,0.975315272808075
56,dgi_2_graph,avg,2,0.8940731399747793,0.8300970873786407,1.0,0.9441747572815534,1.0,0.9077669902912622,0.7358449101448059,0.9742276072502136
58,dgi_2_graph,avg,3,0.9735182849936947,0.9635922330097088,1.0,0.9368932038834952,1.0,0.9781553398058253,0.7387925386428833,0.9752837419509888
66,dgi_2_graph,dense,1,0.5334174022698613,0.5509708737864077,0.6292559899117276,0.5339805825242718,0.969735182849937,0.5509708737864077,0.7396122217178345,0.52192622423172
68,dgi_2_graph,dense,2,0.5365699873896596,0.5,0.787515762925599,0.7766990291262136,1.0,0.7354368932038835,0.741834819316864,0.5248739123344421
70,dgi_2_graph,dense,3,0.5315258511979823,0.4927184466019417,0.873266078184111,0.6893203883495146,1.0,0.5728155339805825,0.7436160445213318,0.5213114619255066
72,dgi_2_graph,dense,1,0.5819672131147541,0.5388349514563107,0.6494325346784363,0.5728155339805825,0.9911727616645648,0.5631067961165048,0.7418190240859985,0.6660308837890625
74,dgi_2_graph,dense,2,0.5271122320302648,0.4830097087378641,0.8335435056746532,0.7815533980582524,0.9993694829760404,0.6650485436893204,0.7474936842918396,0.6716740131378174
76,dgi_2_graph,dense,3,0.5372005044136192,0.4830097087378641,0.9205548549810844,0.5194174757281553,1.0,0.3834951456310679,0.7472257018089294,0.676103413105011
78,dgi_2_graph,dense,1,0.5630517023959647,0.5485436893203883,0.7244640605296343,0.6140776699029126,0.996216897856242,0.6383495145631068,0.7502837181091309,0.7363492846488953
80,dgi_2_graph,dense,2,0.5498108448928121,0.5849514563106796,0.8909205548549811,0.6699029126213593,1.0,0.7014563106796117,0.7349148988723755,0.7430170178413391
82,dgi_2_graph,dense,3,0.5958385876418664,0.4854368932038835,0.9041614123581336,0.5242718446601942,0.9993694829760404,0.5194174757281553,0.7414565086364746,0.7442307472229004
84,dgi_2_graph,dense,1,0.585750315258512,0.5121359223300971,0.6336696090794451,0.5606796116504854,0.8631778058007566,0.5946601941747572,0.7398014068603516,0.9706809520721436
86,dgi_2_graph,dense,2,0.5346784363177806,0.5,0.873266078184111,0.7402912621359223,0.9993694829760404,0.7330097087378641,0.7432062029838562,0.9744009971618652
88,dgi_2_graph,dense,3,0.530264817150063,0.5970873786407767,0.9640605296343,0.5728155339805825,1.0,0.5315533980582524,0.7351198196411133,0.975993037223816
96,dgi_2_graph,avg,1,0.8549810844892812,0.8543689320388349,1.0,0.4902912621359223,0.9993694829760404,0.8932038834951457,0.7379571199417114,0.5229035019874573
98,dgi_2_graph,avg,2,0.6784363177805801,0.5800970873786407,0.9993694829760404,0.6262135922330098,1.0,0.7135922330097088,0.7476828694343567,0.5219577550888062
100,dgi_2_graph,avg,3,0.6437578814627994,0.6043689320388349,0.9672131147540984,0.779126213592233,1.0,0.7427184466019418,0.7444671988487244,0.5240069627761841
102,dgi_2_graph,avg,1,0.8965952080706179,0.8689320388349514,1.0,0.4878640776699029,1.0,0.8810679611650486,0.7401008605957031,0.6764343976974487
104,dgi_2_graph,avg,2,0.6034047919293821,0.5776699029126213,1.0,0.8203883495145631,1.0,0.808252427184466,0.7438839673995972,0.6693884134292603
106,dgi_2_graph,avg,3,0.7616645649432535,0.6286407766990292,0.94640605296343,0.7645631067961165,1.0,0.7645631067961165,0.7465479373931885,0.6667717695236206
108,dgi_2_graph,avg,1,0.8385876418663304,0.7839805825242718,1.0,0.4854368932038835,1.0,0.8543689320388349,0.7508669495582581,0.7438209056854248
110,dgi_2_graph,avg,2,0.8266078184110971,0.8033980582524272,1.0,0.8470873786407767,1.0,0.8810679611650486,0.7421028017997742,0.7545554637908936
112,dgi_2_graph,avg,3,0.8568726355611601,0.8131067961165048,0.9722572509457756,0.866504854368932,1.0,0.7766990291262136,0.7489911913871765,0.7433322668075562
114,dgi_2_graph,avg,1,0.9527112232030264,0.9344660194174758,1.0,0.4854368932038835,1.0,0.9150485436893204,0.7467370629310608,0.9755517244338988
116,dgi_2_graph,avg,2,0.6141235813366961,0.5461165048543689,1.0,0.8883495145631068,1.0,0.8883495145631068,0.7440258264541626,0.9746374487876892
118,dgi_2_graph,avg,3,0.950189155107188,0.8859223300970874,0.998108448928121,0.9781553398058253,1.0,0.9563106796116504,0.7411097288131714,0.9678436517715454
